CARE_AVG,FAIRNESS_AVG,LOYALTY_AVG,AUTHORITY_AVG,PURITY_AVG,Sex,Country
4.33333333333333,4.83333333333333,3.33333333333333,4.5,4.16666666666667,1,UK
3.5,3.5,3.33333333333333,3.16666666666667,2.5,1,UK
3.83333333333333,3.5,3.0,3.33333333333333,1.83333333333333,1,UK
4.16666666666667,3.5,2.66666666666667,2.5,2.83333333333333,1,UK
3.83333333333333,3.83333333333333,1.83333333333333,2.5,2.5,1,UK
3.83333333333333,3.33333333333333,2.83333333333333,2.83333333333333,3.0,1,UK
3.33333333333333,2.33333333333333,1.83333333333333,2.0,2.66666666666667,1,UK
3.66666666666667,3.83333333333333,3.16666666666667,2.66666666666667,2.83333333333333,1,UK
4.16666666666667,4.16666666666667,2.33333333333333,2.5,1.5,1,UK
3.5,3.5,2.16666666666667,2.5,3.0,0,UK
3.66666666666667,4.0,2.83333333333333,2.83333333333333,3.33333333333333,1,UK
3.0,2.83333333333333,2.5,1.33333333333333,1.5,1,UK
2.33333333333333,4.0,2.5,3.16666666666667,1.83333333333333,0,UK
4.16666666666667,3.5,1.83333333333333,2.33333333333333,1.0,1,UK
5.0,4.5,2.5,2.33333333333333,3.5,0,UK
2.66666666666667,3.66666666666667,3.5,2.66666666666667,2.5,1,UK
3.16666666666667,3.66666666666667,3.0,3.33333333333333,2.5,1,UK
4.0,3.0,1.5,2.0,2.66666666666667,0,UK
3.0,3.5,3.83333333333333,4.0,3.16666666666667,0,UK
3.83333333333333,3.33333333333333,2.5,2.5,2.66666666666667,0,UK
2.83333333333333,2.83333333333333,3.16666666666667,2.83333333333333,2.16666666666667,0,UK
4.33333333333333,3.83333333333333,1.83333333333333,1.66666666666667,1.66666666666667,1,UK
1.83333333333333,3.66666666666667,3.0,2.5,1.5,1,UK
4.16666666666667,4.0,3.33333333333333,3.0,3.0,0,UK
3.83333333333333,4.16666666666667,2.33333333333333,3.0,2.83333333333333,0,UK
4.16666666666667,3.33333333333333,3.16666666666667,2.66666666666667,3.0,0,UK
5.0,4.0,1.5,1.66666666666667,1.5,1,UK
4.5,3.33333333333333,3.16666666666667,3.0,2.83333333333333,0,UK
3.83333333333333,3.16666666666667,2.33333333333333,2.83333333333333,1.66666666666667,0,UK
3.33333333333333,2.66666666666667,3.33333333333333,1.66666666666667,2.33333333333333,0,UK
4.5,4.66666666666667,1.83333333333333,2.66666666666667,3.0,0,UK
4.16666666666667,3.83333333333333,3.0,4.0,2.33333333333333,0,UK
4.5,3.66666666666667,2.33333333333333,2.83333333333333,2.83333333333333,0,UK
3.83333333333333,3.0,2.83333333333333,3.66666666666667,3.5,0,UK
3.66666666666667,4.5,2.66666666666667,2.16666666666667,1.66666666666667,0,UK
3.83333333333333,2.66666666666667,2.83333333333333,3.66666666666667,3.16666666666667,0,UK
3.66666666666667,4.66666666666667,2.5,1.83333333333333,2.0,0,UK
4.5,3.33333333333333,2.66666666666667,2.33333333333333,3.0,0,UK
3.33333333333333,3.66666666666667,1.83333333333333,3.5,4.16666666666667,0,UK
4.33333333333333,3.83333333333333,2.0,2.0,1.66666666666667,0,UK
3.5,3.83333333333333,3.83333333333333,4.0,1.0,0,UK
4.0,3.16666666666667,3.16666666666667,3.5,2.83333333333333,1,UK
4.16666666666667,4.33333333333333,3.16666666666667,2.83333333333333,3.0,0,UK
3.83333333333333,4.5,2.66666666666667,3.0,2.33333333333333,1,UK
3.83333333333333,3.16666666666667,1.5,1.33333333333333,1.33333333333333,0,UK
4.0,3.66666666666667,2.0,2.33333333333333,1.66666666666667,0,UK
3.5,3.5,2.0,3.0,2.33333333333333,0,UK
4.33333333333333,4.16666666666667,3.16666666666667,3.16666666666667,1.66666666666667,0,UK
4.33333333333333,4.33333333333333,2.66666666666667,3.66666666666667,3.83333333333333,0,UK
4.0,3.83333333333333,3.0,3.66666666666667,2.33333333333333,0,UK
2.5,3.83333333333333,1.66666666666667,2.5,1.0,1,UK
3.66666666666667,3.83333333333333,3.5,3.33333333333333,3.16666666666667,0,UK
3.0,3.5,3.33333333333333,3.66666666666667,3.0,1,UK
4.0,4.0,3.66666666666667,3.5,4.16666666666667,0,UK
2.83333333333333,3.33333333333333,2.66666666666667,3.16666666666667,3.83333333333333,0,UK
3.33333333333333,2.5,2.33333333333333,2.66666666666667,1.66666666666667,1,UK
3.0,3.5,2.33333333333333,3.0,2.16666666666667,0,UK
3.5,3.83333333333333,3.16666666666667,2.5,2.16666666666667,1,UK
3.5,3.33333333333333,2.66666666666667,2.5,2.5,1,UK
3.5,3.33333333333333,2.83333333333333,2.83333333333333,2.33333333333333,0,UK
2.16666666666667,2.83333333333333,1.66666666666667,2.0,2.0,1,UK
4.0,4.33333333333333,2.5,2.66666666666667,2.0,1,UK
3.33333333333333,2.33333333333333,3.16666666666667,2.5,2.16666666666667,0,UK
3.66666666666667,3.16666666666667,2.33333333333333,3.16666666666667,2.83333333333333,0,UK
3.83333333333333,3.16666666666667,1.33333333333333,2.0,2.66666666666667,0,UK
2.66666666666667,3.16666666666667,3.33333333333333,3.33333333333333,3.0,0,UK
4.5,4.5,2.16666666666667,3.0,3.66666666666667,0,UK
4.0,3.66666666666667,2.33333333333333,3.5,1.83333333333333,0,UK
4.5,4.16666666666667,3.0,3.0,2.66666666666667,0,UK
4.5,3.66666666666667,1.83333333333333,1.33333333333333,2.33333333333333,0,UK
3.16666666666667,4.16666666666667,3.0,3.66666666666667,2.66666666666667,1,UK
3.66666666666667,3.16666666666667,1.5,2.83333333333333,1.83333333333333,0,UK
3.83333333333333,4.0,2.5,3.33333333333333,2.16666666666667,1,UK
4.66666666666667,4.0,2.83333333333333,3.33333333333333,2.16666666666667,0,UK
3.0,3.33333333333333,2.66666666666667,2.66666666666667,3.0,0,UK
4.0,3.5,3.83333333333333,2.83333333333333,2.66666666666667,0,UK
3.83333333333333,3.66666666666667,2.33333333333333,2.33333333333333,1.0,1,UK
2.5,2.66666666666667,3.16666666666667,3.66666666666667,2.5,1,UK
4.16666666666667,4.16666666666667,3.5,3.16666666666667,3.0,1,UK
3.66666666666667,3.5,4.16666666666667,3.83333333333333,3.16666666666667,1,UK
3.16666666666667,4.0,4.5,2.83333333333333,2.5,1,UK
4.16666666666667,4.16666666666667,2.16666666666667,2.16666666666667,1.83333333333333,0,UK
2.66666666666667,1.5,2.66666666666667,2.33333333333333,0.5,1,UK
3.33333333333333,3.33333333333333,1.0,1.66666666666667,0.166666666666667,0,UK
3.66666666666667,3.5,2.5,2.5,2.66666666666667,1,UK
2.33333333333333,3.33333333333333,2.33333333333333,3.5,2.5,1,UK
3.66666666666667,2.16666666666667,2.33333333333333,3.0,3.5,1,UK
3.83333333333333,4.0,3.16666666666667,2.0,2.83333333333333,0,UK
3.33333333333333,4.33333333333333,3.33333333333333,2.83333333333333,2.0,1,UK
3.33333333333333,3.83333333333333,4.66666666666667,2.33333333333333,3.33333333333333,0,UK
4.16666666666667,3.83333333333333,3.5,2.33333333333333,1.83333333333333,1,UK
3.5,3.5,3.5,2.5,1.5,1,UK
4.0,4.0,1.0,1.83333333333333,0.333333333333333,0,UK
3.0,3.5,2.0,2.66666666666667,2.33333333333333,1,UK
3.83333333333333,3.33333333333333,3.16666666666667,4.16666666666667,1.83333333333333,1,UK
4.0,3.5,2.66666666666667,3.83333333333333,0.833333333333333,1,UK
3.83333333333333,3.83333333333333,2.33333333333333,2.83333333333333,2.0,1,UK
4.16666666666667,4.5,4.33333333333333,3.83333333333333,2.66666666666667,1,UK
3.83333333333333,3.83333333333333,3.16666666666667,3.0,3.0,1,UK
3.0,3.16666666666667,1.66666666666667,2.83333333333333,2.0,1,UK
3.66666666666667,3.83333333333333,1.83333333333333,2.5,2.0,1,UK
3.66666666666667,4.0,3.5,3.5,3.5,1,UK
4.66666666666667,3.66666666666667,3.66666666666667,3.16666666666667,2.33333333333333,1,UK
3.66666666666667,4.0,2.33333333333333,2.33333333333333,2.16666666666667,1,UK
3.5,3.5,2.16666666666667,2.33333333333333,2.0,1,UK
3.16666666666667,2.83333333333333,1.83333333333333,2.5,1.5,1,UK
3.5,3.16666666666667,3.0,3.66666666666667,3.33333333333333,1,UK
3.66666666666667,3.33333333333333,2.5,2.66666666666667,1.83333333333333,1,UK
2.33333333333333,3.33333333333333,1.83333333333333,2.5,2.66666666666667,1,UK
4.0,2.33333333333333,1.33333333333333,1.5,1.0,1,UK
4.33333333333333,4.16666666666667,1.5,2.16666666666667,3.33333333333333,1,UK
3.83333333333333,3.0,2.16666666666667,3.33333333333333,2.5,1,UK
3.83333333333333,2.83333333333333,1.66666666666667,1.66666666666667,1.5,1,UK
2.66666666666667,4.16666666666667,3.66666666666667,2.5,1.5,1,UK
4.16666666666667,3.5,3.0,2.83333333333333,3.5,1,UK
3.0,3.0,3.5,2.16666666666667,0.666666666666667,1,UK
3.16666666666667,4.33333333333333,1.16666666666667,1.0,0.0,1,UK
3.5,2.83333333333333,3.5,2.83333333333333,2.83333333333333,1,UK
3.16666666666667,3.5,1.66666666666667,1.66666666666667,0.833333333333333,1,UK
3.83333333333333,4.33333333333333,3.33333333333333,3.16666666666667,3.16666666666667,1,UK
3.66666666666667,4.5,2.66666666666667,3.16666666666667,2.0,1,UK
3.16666666666667,4.5,1.16666666666667,2.0,0.666666666666667,1,UK
3.5,4.33333333333333,2.0,1.5,2.0,1,UK
3.33333333333333,3.33333333333333,3.0,3.33333333333333,3.33333333333333,1,UK
2.33333333333333,3.66666666666667,1.83333333333333,1.33333333333333,0.666666666666667,1,UK
3.66666666666667,3.83333333333333,1.33333333333333,2.0,1.0,1,UK
2.66666666666667,4.0,3.16666666666667,3.0,2.5,1,UK
3.83333333333333,3.33333333333333,1.66666666666667,2.0,0.5,1,UK
3.16666666666667,3.0,4.0,4.66666666666667,3.5,1,UK
4.0,4.16666666666667,3.0,3.33333333333333,2.66666666666667,1,UK
4.5,4.33333333333333,2.83333333333333,3.0,1.0,1,UK
3.16666666666667,3.83333333333333,1.66666666666667,2.16666666666667,1.16666666666667,1,UK
4.0,4.33333333333333,3.5,3.5,3.33333333333333,1,UK
3.16666666666667,4.0,2.0,3.16666666666667,3.66666666666667,1,UK
4.0,4.33333333333333,2.33333333333333,2.83333333333333,1.66666666666667,0,UK
4.5,4.16666666666667,2.83333333333333,2.66666666666667,4.83333333333333,0,UK
3.83333333333333,4.16666666666667,2.83333333333333,3.66666666666667,2.83333333333333,0,UK
3.0,3.5,2.83333333333333,2.66666666666667,2.5,0,UK
3.83333333333333,3.33333333333333,3.66666666666667,3.16666666666667,2.16666666666667,0,UK
4.5,5.0,3.0,3.0,2.83333333333333,0,UK
4.83333333333333,4.5,3.83333333333333,4.0,4.16666666666667,0,UK
4.33333333333333,3.83333333333333,3.5,3.33333333333333,2.16666666666667,0,UK
4.0,4.0,2.33333333333333,3.33333333333333,3.5,0,UK
3.83333333333333,3.0,3.83333333333333,4.16666666666667,4.5,0,UK
4.66666666666667,3.66666666666667,1.83333333333333,2.83333333333333,1.0,0,UK
3.66666666666667,3.83333333333333,2.66666666666667,1.83333333333333,1.16666666666667,0,UK
4.66666666666667,4.16666666666667,3.5,3.5,3.5,0,UK
3.16666666666667,2.66666666666667,3.0,3.0,2.5,0,UK
4.33333333333333,4.5,3.33333333333333,2.83333333333333,1.83333333333333,0,UK
3.66666666666667,2.66666666666667,2.66666666666667,2.16666666666667,2.33333333333333,0,UK
5.0,4.33333333333333,2.0,1.16666666666667,2.16666666666667,0,UK
4.33333333333333,3.33333333333333,3.0,3.5,3.0,0,UK
4.0,3.5,0.833333333333333,2.16666666666667,1.83333333333333,0,UK
3.16666666666667,4.0,3.0,2.66666666666667,3.0,0,UK
2.33333333333333,2.33333333333333,2.66666666666667,2.83333333333333,2.83333333333333,0,UK
4.16666666666667,3.5,3.33333333333333,3.33333333333333,4.0,0,UK
2.16666666666667,2.16666666666667,2.0,3.0,2.0,1,UK
2.5,2.5,2.83333333333333,3.16666666666667,2.16666666666667,0,UK
4.5,4.33333333333333,2.0,2.66666666666667,2.33333333333333,1,UK
3.0,3.16666666666667,2.83333333333333,2.83333333333333,1.66666666666667,0,UK
2.83333333333333,3.83333333333333,2.0,1.16666666666667,0.833333333333333,0,UK
2.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,2.5,0,UK
1.83333333333333,2.5,2.16666666666667,2.5,1.5,0,UK
3.33333333333333,3.0,2.5,3.33333333333333,2.83333333333333,0,UK
3.83333333333333,3.0,2.16666666666667,2.66666666666667,2.0,0,UK
2.5,3.0,2.33333333333333,2.33333333333333,2.33333333333333,1,UK
4.33333333333333,3.83333333333333,3.33333333333333,2.33333333333333,2.66666666666667,0,UK
3.66666666666667,3.0,2.83333333333333,2.5,2.33333333333333,1,UK
3.16666666666667,4.66666666666667,1.33333333333333,1.33333333333333,1.5,0,UK
3.33333333333333,3.66666666666667,2.66666666666667,2.83333333333333,0.5,0,UK
3.5,3.33333333333333,2.83333333333333,2.66666666666667,3.16666666666667,0,UK
3.33333333333333,3.83333333333333,3.5,3.5,2.83333333333333,0,UK
4.5,4.0,1.66666666666667,2.0,2.0,0,UK
3.83333333333333,4.0,2.66666666666667,2.83333333333333,3.33333333333333,1,UK
3.5,2.66666666666667,3.0,2.83333333333333,3.66666666666667,1,UK
2.33333333333333,3.16666666666667,1.66666666666667,2.5,1.5,0,UK
3.16666666666667,3.0,2.66666666666667,3.0,1.0,0,UK
4.5,3.83333333333333,3.16666666666667,2.83333333333333,2.83333333333333,0,UK
4.0,4.66666666666667,2.16666666666667,1.5,0.0,0,UK
3.33333333333333,3.5,0.5,1.5,1.33333333333333,0,UK
3.5,3.5,2.0,2.33333333333333,1.0,1,UK
4.0,3.33333333333333,2.0,2.0,1.5,0,UK
3.0,3.5,2.16666666666667,2.83333333333333,1.0,0,UK
4.5,2.66666666666667,3.16666666666667,2.5,2.33333333333333,0,UK
2.83333333333333,2.16666666666667,1.66666666666667,1.83333333333333,1.83333333333333,0,UK
4.33333333333333,3.66666666666667,2.5,2.33333333333333,3.0,0,UK
3.83333333333333,3.66666666666667,3.16666666666667,3.66666666666667,3.33333333333333,0,UK
3.66666666666667,4.5,1.66666666666667,1.83333333333333,1.33333333333333,0,UK
5.0,3.83333333333333,1.5,1.16666666666667,2.5,0,UK
3.83333333333333,3.83333333333333,2.83333333333333,3.16666666666667,3.5,0,UK
1.66666666666667,2.83333333333333,1.83333333333333,2.5,3.16666666666667,0,UK
2.66666666666667,2.5,2.0,1.66666666666667,1.33333333333333,0,UK
3.16666666666667,3.5,2.66666666666667,3.0,1.5,1,UK
4.5,4.16666666666667,1.83333333333333,3.0,1.0,0,UK
4.33333333333333,3.16666666666667,2.16666666666667,3.0,3.0,0,UK
3.33333333333333,2.66666666666667,2.33333333333333,3.0,2.0,1,UK
3.5,3.33333333333333,1.33333333333333,1.5,2.0,0,UK
3.66666666666667,2.83333333333333,2.33333333333333,1.66666666666667,2.5,0,UK
4.0,3.33333333333333,2.66666666666667,2.5,1.5,0,UK
3.83333333333333,3.16666666666667,2.66666666666667,2.66666666666667,2.5,0,UK
4.66666666666667,4.0,3.0,3.16666666666667,3.33333333333333,0,UK
4.0,3.66666666666667,2.33333333333333,3.33333333333333,2.5,0,UK
2.5,2.83333333333333,2.83333333333333,3.33333333333333,3.0,0,UK
4.5,2.83333333333333,2.66666666666667,2.5,1.83333333333333,0,UK
4.16666666666667,3.66666666666667,2.83333333333333,2.66666666666667,2.16666666666667,0,UK
4.16666666666667,3.83333333333333,1.83333333333333,2.0,2.5,0,UK
4.66666666666667,4.66666666666667,3.0,3.66666666666667,3.0,0,UK
4.0,4.33333333333333,2.66666666666667,2.83333333333333,1.66666666666667,1,UK
4.66666666666667,4.0,3.66666666666667,2.33333333333333,2.33333333333333,0,UK
3.16666666666667,2.5,3.16666666666667,3.0,3.33333333333333,0,UK
2.5,4.16666666666667,2.0,2.66666666666667,2.33333333333333,1,UK
1.83333333333333,1.33333333333333,3.66666666666667,3.5,2.16666666666667,1,UK
3.66666666666667,3.66666666666667,2.66666666666667,2.33333333333333,1.83333333333333,1,UK
4.16666666666667,4.33333333333333,2.5,2.66666666666667,1.5,1,UK
3.33333333333333,3.33333333333333,2.16666666666667,3.0,2.16666666666667,1,UK
3.33333333333333,2.83333333333333,1.33333333333333,2.5,1.83333333333333,1,UK
3.33333333333333,3.16666666666667,2.33333333333333,3.66666666666667,2.83333333333333,1,UK
3.16666666666667,2.83333333333333,2.5,1.66666666666667,2.16666666666667,1,UK
2.83333333333333,2.33333333333333,0.166666666666667,1.0,0.5,1,UK
3.66666666666667,3.16666666666667,3.16666666666667,3.5,2.83333333333333,1,UK
2.16666666666667,2.16666666666667,1.66666666666667,2.66666666666667,1.16666666666667,1,UK
